station_code,line_code,index,numbering,impl
1111123,11111,22,NULL,1
1111124,11111,23,NULL,1
1111125,11111,24,NULL,1
1111126,11111,25,NULL,1
1111127,11111,26,NULL,1
1111128,11111,27,NULL,1
1111129,11111,28,NULL,1
1111130,11111,29,NULL,1
1110315,11112,1,01,1
1110314,11112,2,S02,1
1111203,11112,3,G03,1
1111204,11112,4,G04,1
1111205,11112,5,G05,1
1111206,11112,6,G06,1
1111207,11112,7,G07,1
1111208,11112,8,G08,1
1111209,11112,9,G09,1
1111210,11112,10,G10,1
1111211,11112,11,G11,1
1111212,11112,12,G12,1
1111213,11112,13,G13,1
1111214,11112,14,G14,1
1111215,11112,15,NULL,1
1111216,11112,16,NULL,1
1111217,11112,17,NULL,1
1111218,11112,18,NULL,1
1111219,11112,19,NULL,1
1111220,11112,20,NULL,1
1111221,11112,21,NULL,1
1111222,11112,22,NULL,1
1111223,11112,23,NULL,1
1111224,11112,24,NULL,1
1111225,11112,25,NULL,1
1111226,11112,26,NULL,1
1111227,11112,27,NULL,1
1111228,11112,28,NULL,1
1111229,11112,29,NULL,1
1111230,11112,30,NULL,1
1111231,11112,31,NULL,0
1111232,11112,32,NULL,0
1111233,11112,33,NULL,0
1111234,11112,34,NULL,0
1111235,11112,35,NULL,0
1111236,11112,36,NULL,0
1111237,11112,37,NULL,0
1111238,11112,38,NULL,0
1111239,11112,39,NULL,0
1111240,11112,40,NULL,0
1111241,11112,41,NULL,0
1111305,11112,42,NULL,0
1110343,11113,1,NULL,1
1111302,11113,2,NULL,1
1111303,11113,3,NULL,1
1111304,11113,4,NULL,1
1111305,11113,5,NULL,1
1111306,11113,6,NULL,1
1111307,11113,7,NULL,1
1111308,11113,8,NULL,1
1111309,11113,9,NULL,1
1111310,11113,10,NULL,1
1111311,11113,11,NULL,1
1111312,11113,12,NULL,1
1111313,11113,13,NULL,1
1111315,11113,14,NULL,1
1111316,11113,15,NULL,1
1111317,11113,16,NULL,1
1111318,11113,17,NULL,1
1111319,11113,18,NULL,1
1111320,11113,19,NULL,1
1111321,11113,20,NULL,1
1110348,11114,1,A28,1
1111402,11114,2,F29,1
1111403,11114,3,F30,1
1111404,11114,4,F31,1
1111405,11114,5,F32,1
1111406,11114,6,F33,1
1111407,11114,7,F34,1
1111408,11114,8,F35,1
1111409,11114,9,F36,1
1111410,11114,10,F37,1
1111411,11114,11,F38,1
1111412,11114,12,F39,1
1111413,11114,13,F40,1
1111414,11114,14,F41,1
1111415,11114,15,F42,1
1111416,11114,16,F43,1
1111417,11114,17,F44,1
1110610,11114,18,T30,1
1110348,11115,1,A28,1
1111502,11115,2,A29,1
1111503,11115,3,A30,1
1111504,11115,4,W31,1
1111505,11115,5,W32,1
1111506,11115,6,W33,1
1111507,11115,7,W34,1
1111508,11115,8,W35,1
1111509,11115,9,W36,1
1111510,11115,10,W37,1
1111511,11115,11,W38,1
1111512,11115,12,W39,1
1111513,11115,13,W40,1
1111514,11115,14,W41,1
1111515,11115,15,W42,1
1111516,11115,16,W43,1
1111517,11115,17,W44,1
1111518,11115,18,W45,1
1111519,11115,19,W46,1
1111520,11115,20,W47,1
1111521,11115,21,W48,1
1111522,11115,22,W49,1
1111523,11115,23,W50,1
1111524,11115,24,W51,1
1111525,11115,25,W52,1
1111526,11115,26,W53,1
1111527,11115,27,W54,1
1111528,11115,28,W55,1
1111529,11115,29,W56,1
1111530,11115,30,W57,1
1111531,11115,31,W58,1
1111532,11115,32,W59,1
1111533,11115,33,W60,1
1111534,11115,34,W61,1
1111535,11115,35,W62,1
1111536,11115,36,W63,1
1111537,11115,37,W64,1
1111538,11115,38,W65,1
1111539,11115,39,W66,1
1111540,11115,40,W67,1
1111541,11115,41,W68,1
1111542,11115,42,W69,1
1111543,11115,43,W70,1
1111544,11115,44,W71,1
1111545,11115,45,W72,1
1111546,11115,46,W73,1
1111547,11115,47,W74,1
1111548,11115,48,W75,1
1111549,11115,49,W76,1
1111550,11115,50,W77,1
1111551,11115,51,W78,1
1111552,11115,52,W79,1
1111553,11115,53,W80,1
1110348,11116,1,A28,1
1111502,11116,2,A29,1
1111503,11116,3,A30,1
1111604,11116,4,A31,1
1111605,11116,5,A32,1
1111606,11116,6,A33,1
1111607,11116,7,A34,1
1111608,11116,8,A35,1
1111609,11116,9,A36,1
1111610,11116,10,A37,1
1111611,11116,11,A38,1
1111612,11116,12,A39,1
1111613,11116,13,A40,1
1111614,11116,14,A41,1
1111615,11116,15,A42,1
1111616,11116,16,A43,1
1111617,11116,17,A44,1
1111618,11116,18,A45,1
1111619,11116,19,A46,1
1111620,11116,20,A47,1
1111621,11116,21,A48,1
1111622,11116,22,A49,1
1111623,11116,23,A50,1
1111624,11116,24,A51,1
1111625,11116,25,A52,1
1111626,11116,26,A53,1
1111627,11116,27,A54,1
1111628,11116,28,A55,1
1111629,11116,29,A56,1
1111630,11116,30,A57,1
1111631,11116,31,A58,1
1111632,11116,32,A59,1
1111633,11116,33,A60,1
1111634,11116,34,A61,1
1111635,11116,35,A62,1
1111636,11116,36,A63,1
1111637,11116,37,A64,1
1111638,11116,38,A65,1
1111639,11116,39,A66,1
1111640,11116,40,A67,1
1111641,11116,41,A68,1
1111642,11116,42,A69,1
1111642,11117,1,A69,1
1111702,11117,2,B79,1
1111703,11117,3,B78,1
1111704,11117,4,B77,1
1111705,11117,5,B76,1
1111706,11117,6,B75,1
1111707,11117,7,B74,1
1111708,11117,8,B73,1
1111709,11117,9,B72,1
1111710,11117,10,B71,1
1111711,11117,11,B70,1
1111712,11117,12,B69,1
1111713,11117,13,B68,1
1111714,11117,14,B67,1
1111715,11117,15,B66,1
1111716,11117,16,B65,1
1111717,11117,17,B64,1
1111718,11117,18,B63,1
1111719,11117,19,B62,1
1111720,11117,20,B61,1
1111721,11117,21,B60,1
1111722,11117,22,B59,1
1111723,11117,23,B58,1
1111724,11117,24,B57,1
1111725,11117,25,B56,1
1111726,11117,26,B55,1
1110802,11117,27,B54,1
1110731,11117,28,K53,1
1111801,11118,1,NULL,1
101102,11118,2,NULL,1
1111803,11118,3,NULL,1
1111805,11118,4,NULL,1
101103,11118,5,NULL,1
1110101,11119,1,NULL,1
1110102,11119,2,NULL,1
1111920,11119,3,NULL,1
1111919,11119,4,NULL,1
1111918,11119,5,NULL,1
1111917,11119,6,NULL,1
1111916,11119,7,NULL,1
1111915,11119,8,NULL,1
1111914,11119,9,NULL,1
1111913,11119,10,NULL,1
1111912,11119,11,NULL,1
1111911,11119,12,NULL,1
101103,11119,13,NULL,1
1111909,11119,14,NULL,1
1111908,11119,15,NULL,1
1111907,11119,16,NULL,1
1111906,11119,17,NULL,1
1111905,11119,18,NULL,1
1111904,11119,19,NULL,1
1111903,11119,20,NULL,1
1111902,11119,21,NULL,1
1111901,11119,22,NULL,1
100421,11201,1,NULL,1
1120102,11201,2,NULL,1
1120103,11201,3,NULL,1
1120104,11201,4,NULL,1
1120105,11201,5,NULL,1
1120106,11201,6,NULL,1
1120107,11201,7,NULL,1
1120108,11201,8,NULL,1
1120109,11201,9,NULL,1
1120110,11201,10,NULL,1
1120111,11201,11,NULL,1
1120112,11201,12,NULL,1
1120113,11201,13,NULL,1
1120114,11201,14,NULL,1
1120115,11201,15,NULL,1
1120116,11201,16,NULL,1
1120117,11201,17,NULL,1
1120118,11201,18,NULL,1
1120119,11201,19,NULL,1
1120120,11201,20,NULL,1
1120201,11202,1,NULL,1
1120202,11202,2,NULL,1
1120203,11202,3,NULL,1
1120204,11202,4,NULL,1
1120205,11202,5,NULL,1
1120206,11202,6,NULL,1
1120207,11202,7,NULL,1
1120208,11202,8,NULL,1
1120209,11202,9,NULL,1
1120210,11202,10,NULL,1
1120211,11202,11,NULL,1
1120212,11202,12,NULL,1
1120213,11202,13,NULL,1
1120214,11202,14,NULL,1
1120215,11202,15,NULL,1
1120216,11202,16,NULL,1
1120217,11202,17,NULL,1
1120218,11202,18,NULL,1
1120219,11202,19,NULL,1
1120220,11202,20,NULL,1
1120221,11202,21,NULL,1
1120222,11202,22,NULL,1
1120223,11202,23,NULL,1
1120224,11202,24,NULL,1
1120225,11202,25,NULL,1
1120226,11202,26,NULL,1
1120227,11202,27,NULL,1
1120228,11202,28,NULL,1
1120229,11202,29,NULL,1
1120230,11202,30,NULL,1
1120231,11202,31,NULL,1
1120232,11202,32,NULL,1
1120233,11202,33,NULL,1
1120234,11202,34,NULL,1
1120235,11202,35,NULL,1
1120236,11202,36,NULL,1
1120237,11202,37,NULL,1
1120238,11202,38,NULL,1
1120239,11202,39,NULL,1
1120240,11202,40,NULL,1
1120241,11202,41,NULL,1
1120242,11202,42,NULL,1
1120243,11202,43,NULL,1
1120244,11202,44,NULL,1
1120245,11202,45,NULL,1
1120246,11202,46,NULL,1
1120247,11202,47,NULL,1
1120248,11202,48,NULL,1
1120249,11202,49,NULL,1
1120250,11202,50,NULL,1
1120251,11202,51,NULL,1
1120252,11202,52,NULL,1
1120253,11202,53,NULL,1
1120254,11202,54,NULL,1
1120255,11202,55,NULL,1
1120256,11202,56,NULL,1
1120257,11202,57,NULL,1
1120258,11202,58,NULL,1
1120259,11202,59,NULL,1
1120260,11202,60,NULL,1
1120261,11202,61,NULL,1
1120262,11202,62,NULL,1
1120263,11202,63,NULL,1
1120264,11202,64,NULL,1
1120265,11202,65,NULL,1
100423,11202,66,NULL,1
1120120,11202,67,NULL,1
1123101,11231,1,NULL,1
1123102,11231,2,NULL,1
1123103,11231,3,NULL,1
1123104,11231,4,NULL,1
1123105,11231,5,NULL,1
100407,11231,6,NULL,1
1123107,11231,7,NULL,1
1123108,11231,8,NULL,1
1123109,11231,9,NULL,1
1123110,11231,10,NULL,1
1123111,11231,11,NULL,1
1123112,11231,12,NULL,1
1123113,11231,13,NULL,1
100408,11231,14,NULL,1
1123115,11231,15,NULL,1
1123116,11231,16,NULL,1
1123117,11231,17,NULL,1
1123118,11231,18,NULL,1
1123119,11231,19,NULL,1
1123120,11231,20,NULL,1
1123121,11231,21,NULL,1
1123122,11231,22,NULL,1
1123123,11231,23,NULL,1
100409,11231,24,NULL,1
1123125,11231,25,NULL,1
1123126,11231,26,NULL,1
1123127,11231,27,NULL,1
1123128,11231,28,NULL,1
1123129,11231,29,NULL,1
1123130,11231,30,NULL,1
1123131,11231,31,NULL,1
1123132,11231,32,NULL,1
1123133,11231,33,NULL,1
1123134,11231,34,NULL,1
1123135,11231,35,NULL,1
1123136,11231,36,NULL,1
1123137,11231,37,NULL,1
1123138,11231,38,NULL,1
1123139,11231,39,NULL,1
1123140,11231,40,NULL,1
1123141,11231,41,NULL,1
1123142,11231,42,NULL,1
100411,11231,43,NULL,1
1123144,11231,44,NULL,1
1123145,11231,45,NULL,1
1123148,11231,46,NULL,1
1123149,11231,47,NULL,1
1123150,11231,48,NULL,1
1123151,11231,49,NULL,1
1123152,11231,50,NULL,1
1123153,11231,51,NULL,1
1123154,11231,52,NULL,1
1123155,11231,53,NULL,1
1123156,11231,54,NULL,1
1123157,11231,55,NULL,1
1123158,11231,56,NULL,1
1123159,11231,57,NULL,1
1123160,11231,58,NULL,1
1123161,11231,59,NULL,1
1123162,11231,60,NULL,1
1123163,11231,61,NULL,1
1123164,11231,62,NULL,1
1123165,11231,63,NULL,1
100414,11231,64,NULL,1
1123167,11231,65,NULL,1
1123168,11231,66,NULL,1
1123169,11231,67,NULL,1
1123170,11231,68,NULL,1
1123171,11231,69,NULL,1
1123172,11231,70,NULL,1
1123173,11231,71,NULL,1
100416,11231,72,NULL,1
1123175,11231,73,NULL,1
1123176,11231,74,NULL,1
1123177,11231,75,NULL,1
1123178,11231,76,NULL,1
1123179,11231,77,NULL,1
1123180,11231,78,NULL,1
1123181,11231,79,NULL,1
1123182,11231,80,NULL,1
1123183,11231,81,NULL,1
1123184,11231,82,NULL,1
100418,11231,83,NULL,1
1123146,11231,84,NULL,1
1123147,11231,85,NULL,1
1120110,11203,1,NULL,1
1120302,11203,2,NULL,1
1120303,11203,3,NULL,1
1120304,11203,4,NULL,1
1120305,11203,5,NULL,1
1120306,11203,6,NULL,1
1120307,11203,7,NULL,1
1120308,11203,8,NULL,1
1120309,11203,9,NULL,1
1120310,11203,10,NULL,1
1120311,11203,11,NULL,1
1120241,11204,1,NULL,1
1120402,11204,2,NULL,1
1120403,11204,3,NULL,1
1120404,11204,4,NULL,1
1120405,11204,5,NULL,1
1120406,11204,6,NULL,1
1120407,11204,7,NULL,1
1120408,11204,8,NULL,1
1120409,11204,9,NULL,1
1120410,11204,10,NULL,1
1120411,11204,11,NULL,1
1120412,11204,12,NULL,1
1120413,11204,13,NULL,1
1120414,11204,14,NULL,1
1120415,11204,15,NULL,1
1120416,11204,16,NULL,1
1120417,11204,17,NULL,1
1120418,11204,18,NULL,1
1120419,11204,19,NULL,1
1120420,11204,20,NULL,1
1120421,11204,21,NULL,1
1120422,11204,22,NULL,1
1120423,11204,23,NULL,1
1120424,11204,24,NULL,1
1120425,11204,25,NULL,1
1120426,11204,26,NULL,1
1120427,11204,27,NULL,1
1120428,11204,28,NULL,1
1120429,11204,29,NULL,1
1120430,11204,30,NULL,1
1120431,11204,31,NULL,1
1120432,11204,32,NULL,1
1120433,11204,33,NULL,1
1120434,11204,34,NULL,1
1120435,11204,35,NULL,1
1120436,11204,36,NULL,1
1120437,11204,37,NULL,1
1120438,11204,38,NULL,1
1120439,11204,39,NULL,1
1120440,11204,40,NULL,1
1120441,11204,41,NULL,1
1120442,11204,42,NULL,1
1120260,11204,43,NULL,1
1120120,11205,1,NULL,1
1120502,11205,2,NULL,1
1120503,11205,3,NULL,1
1120504,11205,4,NULL,1
1120505,11205,5,NULL,1
1120506,11205,6,NULL,1
1120507,11205,7,NULL,1
1120508,11205,8,NULL,1
1120509,11205,9,NULL,1
1120510,11205,10,NULL,1
1120511,11205,11,NULL,1
1111801,11205,12,NULL,1
1120513,11205,13,NULL,1
1120514,11205,14,NULL,1
1120515,11205,15,NULL,1
1120516,11205,16,NULL,1
1120517,11205,17,NULL,1
1120518,11205,18,NULL,1
100421,11206,1,NULL,1
1120602,11206,2,NULL,1
1120603,11206,3,NULL,1
1120604,11206,4,NULL,1
1120605,11206,5,NULL,1
1120606,11206,6,NULL,1
1120607,11206,7,NULL,1
1120609,11206,8,NULL,1
1120610,11206,9,NULL,1
1120611,11206,10,NULL,1
1120612,11206,11,NULL,1
1120613,11206,12,NULL,1
1120614,11206,13,NULL,1
1120615,11206,14,NULL,1
1120616,11206,15,NULL,1
1120617,11206,16,NULL,1
1120618,11206,17,NULL,1
1120619,11206,18,NULL,1
1120620,11206,19,NULL,1
1120621,11206,20,NULL,1
1120622,11206,21,NULL,1
1120623,11206,22,NULL,1
1120624,11206,23,NULL,1
1120625,11206,24,NULL,1
1120701,11207,1,NULL,1
1120702,11207,2,NULL,1
1120703,11207,3,NULL,1
1120704,11207,4,NULL,1
1120705,11207,5,NULL,1
1120706,11207,6,NULL,1
1120707,11207,7,NULL,1
1120708,11207,8,NULL,1
1120709,11207,9,NULL,1
100414,11208,1,NULL,1
1120802,11208,2,NULL,1
1120803,11208,3,NULL,1
1120804,11208,4,NULL,1
1120805,11208,5,NULL,1
1120806,11208,6,NULL,1
1120807,11208,7,NULL,1
1120808,11208,8,NULL,1
1120809,11208,9,NULL,1
1120810,11208,10,NULL,1
1120811,11208,11,NULL,1
1120812,11208,12,NULL,1
1120813,11208,13,NULL,1
1120814,11208,14,NULL,1
1120815,11208,15,NULL,1
1120816,11208,16,NULL,1
1120826,11208,17,NULL,1
1120827,11208,18,NULL,1
1120828,11208,19,NULL,1
1120829,11208,20,NULL,1
1120830,11208,21,NULL,1
1120817,11208,22,NULL,1
1120818,11208,23,NULL,1
1120831,11208,24,NULL,1
1120819,11208,25,NULL,1
1120832,11208,26,NULL,1
1120833,11208,27,NULL,1
1120834,11208,28,NULL,1
1120820,11208,29,NULL,1
1120835,11208,30,NULL,1
1120821,11208,31,NULL,1
1120836,11208,32,NULL,1
1120822,11208,33,NULL,1
1120837,11208,34,NULL,1
1120823,11208,35,NULL,1
1120838,11208,36,NULL,1
1120824,11208,37,NULL,1
1120839,11208,38,NULL,1
1120840,11208,39,NULL,1
1123176,11209,1,NULL,1
1120902,11209,2,NULL,1
100417,11209,3,NULL,1
1120904,11209,4,NULL,1
1120905,11209,5,NULL,1
1120906,11209,6,NULL,1
1120907,11209,7,NULL,1
1120908,11209,8,NULL,1
1120909,11209,9,NULL,1
1120910,11209,10,NULL,1
1120911,11209,11,NULL,1
1120912,11209,12,NULL,1
1120913,11209,13,NULL,1
1120914,11209,14,NULL,1
1120915,11209,15,NULL,1
1120916,11209,16,NULL,1
1120917,11209,17,NULL,1
1120918,11209,18,NULL,1
1120919,11209,19,NULL,1
1120920,11209,20,NULL,1
1120921,11209,21,NULL,1
1120922,11209,22,NULL,1
1120923,11209,23,NULL,1
1120924,11209,24,NULL,1
