code,name,ekimemo
1111228,於札内,288
1111229,南下徳富,289
1111230,下徳富,290
1111231,新十津川,291
1111302,北一已,292
1111303,秩父別,293
1111304,北秩父別,294
1111305,石狩沼田,295
1111306,真布,296
1111307,恵比島,297
1111308,峠下,298
1111309,幌糠,299
1111310,藤山,300
1111311,大和田(北海道),301
1111312,留萌,302
1111313,瀬越,303
1111315,礼受,304
1111316,阿分,305
1111317,信砂,306
1111318,舎熊,307
1111319,朱文別,308
1111320,箸別,309
1111321,増毛,310
1111402,神楽岡,311
1111403,緑が丘(北海道),312
1111404,西御料,313
1111405,西瑞穂,314
1111406,西神楽,315
1111407,西聖和,316
1111408,千代ヶ岡,317
1111409,北美瑛,318
1111410,美瑛,319
1111411,美馬牛,320
1111412,上富良野,321
1111413,西中,322
1111414,ラベンダー畑,323
1111415,中富良野,324
1111416,鹿討,325
1111417,学田,326
1111502,旭川四条,327
1111503,新旭川,328
1111504,永山,329
1111505,北永山,330
1111506,南比布,331
1111507,比布,332
1111508,北比布,333
1111509,蘭留,334
1111510,塩狩,335
1111511,和寒,336
1111512,東六線,337
1111513,剣淵,338
1111514,北剣淵,339
1111515,士別,340
1111516,下士別,341
1111517,多寄,342
1111518,瑞穂,343
1111519,風連,344
1111520,名寄高校,345
1111521,名寄,346
1111522,日進(北海道),347
1111523,北星,348
1111524,智恵文,349
1111525,智北,350
1111526,南美深,351
1111527,美深,352
1111528,初野,353
1111529,紋穂内,354
1111530,恩根内,355
1111531,豊清水,356
1111532,天塩川温泉,357
1111533,咲来,358
1111534,音威子府,359
1111535,筬島,360
1111536,佐久,361
1111537,天塩中川,362
1111538,歌内,363
1111539,問寒別,364
1111540,糠南,365
1111541,雄信内,366
1111542,安牛,367
1111543,南幌延,368
1111544,上幌延,369
1111545,幌延,370
1111546,下沼,371
1111547,豊富,372
1111548,徳満,373
1111549,兜沼,374
1111550,勇知,375
1111551,抜海,376
1111552,南稚内,377
1111553,稚内,378
1111604,南永山,379
1111605,東旭川,380
1111606,北日ノ出,381
1111607,桜岡,382
1111608,当麻,383
1111609,将軍山,384
1111610,伊香牛,385
1111611,愛別,386
1111612,中愛別,387
1111613,愛山,388
1111614,安足間,389
1111615,東雲(北海道),390
1111616,上川,391
1111617,上白滝,392
1111618,白滝,393
1111619,旧白滝,394
1111620,下白滝,395
1111621,丸瀬布,396
1111622,瀬戸瀬,397
1111623,遠軽,398
1111624,安国,399
1111625,生野(北海道),400
1111626,生田原,401
1111627,金華,402
1111628,西留辺蘂,403
1111629,留辺蘂,404
1111630,相内,405
1111631,東相内,406
1111632,西北見,407
1111633,北見,408
1111634,柏陽,409
1111635,愛し野,410
1111636,端野,411
1111637,緋牛内,412
1111638,美幌,413
1111639,西女満別,414
1111640,女満別,415
1111641,呼人,416
1111642,網走,417
1111702,桂台,418
1111703,鱒浦,419
1111704,藻琴,420
1111705,北浜(北海道),421
1111706,原生花園,422
1111707,浜小清水,423
1111708,止別,424
1111709,知床斜里,425
1111710,中斜里,426
1111711,南斜里,427
1111712,清里町,428
1111713,札弦,429
1111714,緑,430
1111715,川湯温泉,431
1111716,美留和,432
1111717,摩周,433
1111718,南弟子屈,434
1111719,磯分内,435
1111720,標茶,436
1111721,五十石,437
1111722,茅沼,438
1111723,塘路,439
1111724,細岡,440
1111725,釧路湿原,441
1111726,遠矢,442
1111801,中小国,443
1120514,津軽二股,614
1111803,竜飛海底,445
1111805,知内,446
101103,木古内,447
1111901,江差,448
1111902,上ノ国,449
1111903,中須田,450
1111904,桂岡,451
1111905,宮越,452
1111906,湯ノ岱,453
1111907,神明(北海道),454
1111908,吉堀,455
1111909,渡島鶴岡,456
1111911,札苅,457
1111912,泉沢,458
1111913,釜谷,459
1111914,渡島当別,460
1111915,茂辺地,461
1111916,上磯,462
1111917,清川口,463
1111918,久根別,464
1111919,東久根別,465
1111920,七重浜,466
100421,八戸,467
1120201,新庄,487
1120202,泉田,488
1120203,羽前豊里,489
1120204,真室川,490
1120205,釜淵,491
1120206,大滝,492
1120207,及位,493
1120208,院内,494
1120209,横堀,495
1120210,三関,496
1120211,上湯沢,497
1120212,湯沢,498
1120213,下湯沢,499
1120214,十文字,500
1120215,醍醐(秋田),501
1120216,柳田(秋田),502
1120217,横手,503
1120218,後三年,504
1120219,飯詰,505
1120220,大曲(秋田),506
1120221,神宮寺,507
1120222,刈和野,508
1120223,峰吉川,509
1120224,羽後境,510
1120225,大張野,511
1120226,和田,512
1120227,四ツ小屋,513
1120228,秋田,514
1120229,泉外旭川,9376
1120230,土崎,515
1120231,上飯島,516
1120232,追分(秋田),517
1120233,大久保(秋田),518
1120234,羽後飯塚,519
1120235,井川さくら,520
1120236,八郎潟,521
1120237,鯉川,522
1120238,鹿渡,523
1120239,森岳,524
1120240,北金岡,525
1120241,東能代,526
1120242,鶴形,527
1120243,富根,528
1120244,二ツ井,529
1120245,前山,530
1120246,鷹ノ巣(鷹巣),531
1120247,糠沢,532
1120248,早口,533
1120249,下川沿,534
1120250,大館,535
1120251,白沢(秋田),536
1120252,陣場,537
1120253,津軽湯の沢,538
1120254,碇ヶ関,539
1120255,長峰,540
1120256,大鰐温泉,541
9920301,大鰐,6384
1120257,石川(JR),542
1120258,弘前,543
1120259,撫牛子,544
1120260,川部,545
1120261,北常盤,546
1120262,浪岡,547
1120263,大釈迦,548
1120264,鶴ヶ坂,549
1120265,津軽新城,550
100423,新青森,551
1120120,青森,486
1120110,野辺地,476
1120302,北野辺地,552
1120303,有戸,553
1120304,吹越,554
1120305,陸奥横浜,555
1120306,有畑,556
1120307,近川,557
1120308,金谷沢,558
1120309,赤川,559
1120310,下北,560
1120311,大湊,561
1120402,能代,562
1120403,向能代,563
1120404,北能代,564
1120405,鳥形,565
1120406,沢目,566
1120407,東八森,567
1120408,八森,568
1120409,滝ノ間,569
1120410,あきた白神,570
1120411,岩館,571
1120412,大間越,572
1120413,白神岳登山口,573
1120414,松神,574
1120415,十二湖,575
1120416,陸奥岩崎,576
1120417,陸奥沢辺,577
1120418,ウェスパ椿山,578
1120419,艫作,579
1120420,横磯,580
1120421,深浦,581
1120422,広戸,582
1120423,追良瀬,583
1120424,驫木,584
1120425,風合瀬,585
1120426,大戸瀬,586
1120427,千畳敷,587
