code,id,name,name_kana,name_formal,station_size,company_code,color,symbol,closed,closed_date,impl
21007,893ea5,東武越生線,とうぶおごせせん,NULL,8,11,#004098,TJ,0,NULL,1
21008,dcf19c,東武宇都宮線,とうぶうつのみやせん,NULL,12,11,#FF8000,TN,0,NULL,1
21009,fc0073,東武鬼怒川線,とうぶきぬがわせん,NULL,9,11,#FFA500,TN,0,NULL,1
21010,433e06,東武佐野線,とうぶさのせん,NULL,10,11,#FF0000,TI,0,NULL,1
21011,d335b9,東武桐生線,とうぶきりゅうせん,NULL,8,11,#FF0000,TI,0,NULL,1
21012,d676de,東武小泉線,とうぶこいずみせん,NULL,9,11,#FF0000,TI,0,NULL,1
22001,a92a6a,西武池袋線,せいぶいけぶくろせん,NULL,32,12,#FF6600,SI,0,NULL,1
22002,7684e3,西武秩父線,せいぶちちぶせん,NULL,6,12,#FF6600,SI,0,NULL,1
22003,e3bb40,西武有楽町線,せいぶゆうらくちょうせん,NULL,3,12,#FF6600,SI,0,NULL,1
22004,dcd737,西武豊島線,せいぶとしません,NULL,2,12,#FF6600,SI,0,NULL,1
22005,e8ac68,西武狭山線,せいぶさやません,NULL,3,12,#FF6600,SI,0,NULL,1
22006,6325b3,西武山口線,せいぶやまぐちせん,NULL,3,12,#FF3333,SY,0,NULL,1
22007,26978d,西武新宿線,せいぶしんじゅくせん,NULL,29,12,#0099CC,SS,0,NULL,1
22008,08c57f,西武拝島線,せいぶはいじません,NULL,8,12,#0099CC,SS,0,NULL,1
22009,3f4777,西武西武園線,せいぶせいぶえんせん,NULL,2,12,#33CC66,SK,0,NULL,1
22010,8093d6,西武国分寺線,せいぶこくぶんじせん,NULL,5,12,#32CD32,SK,0,NULL,1
22011,1e719e,西武多摩湖線,せいぶたまこせん,NULL,8,12,#FFCC33,ST,0,NULL,1
22012,aa7bb3,西武多摩川線,せいぶたまがわせん,NULL,6,12,#FF6600,SW,0,NULL,1
23001,8d594c,京成本線,けいせいほんせん,NULL,45,13,#005AAA,KS,0,NULL,1
23002,5f43f1,京成押上線,けいせいおしあげせん,NULL,7,13,#005AAA,KS,0,NULL,1
23003,e253b9,京成金町線,けいせいかなまちせん,NULL,3,13,#005AAA,KS,0,NULL,1
23004,e62070,京成千葉線,けいせいちばせん,NULL,10,13,#005AAA,KS,0,NULL,1
23005,2b2d84,京成千原線,けいせいちはらせん,NULL,6,13,#005AAA,KS,0,NULL,1
23006,c8468c,京成成田空港線(成田スカイアクセス),けいせいなりたくうこうせん(なりたすかいあくせす),京成成田空港線,11,13,#FF8620,KS,0,NULL,1
24001,a5656b,京王京王線,けいおうけいおうせん,京王線,34,14,#DD3377,KO,0,NULL,1
24002,dbc973,京王相模原線,けいおうさがみはらせん,NULL,12,14,#DD3377,KO,0,NULL,1
24003,550f60,京王高尾線,けいおうたかおせん,NULL,7,14,#DD3377,KO,0,NULL,1
24004,6ae809,京王競馬場線,けいおうけいばじょうせん,NULL,2,14,#DD3377,KO,0,NULL,1
24005,5b2e9a,京王動物園線,けいおうどうぶつえんせん,NULL,2,14,#DD3377,KO,0,NULL,1
24006,51fa1a,京王井の頭線,けいおういのがしらせん,NULL,17,14,#333388,IN,0,NULL,1
25001,cd858f,小田急小田原線,おだきゅうおだわらせん,NULL,47,15,#2288CC,OH,0,NULL,1
25002,135c5c,小田急江ノ島線,おだきゅうえのしません,NULL,17,15,#2288CC,OE,0,NULL,1
25003,605584,小田急多摩線,おだきゅうたません,NULL,8,15,#2288CC,OT,0,NULL,1
26001,65fc8e,東急東横線,とうきゅうとうよこせん,NULL,21,16,#DA0442,TY,0,NULL,1
26002,982d8a,東急目黒線,とうきゅうめぐろせん,NULL,13,16,#009CD2,MG,0,NULL,1
26003,63dcc7,東急田園都市線,とうきゅうでんえんとしせん,NULL,27,16,#38B48B,DT,0,NULL,1
26004,1da7e0,東急大井町線,とうきゅうおおいまちせん,NULL,18,16,#F18C43,OM,0,NULL,1
26005,cf8aa8,東急池上線,とうきゅういけがみせん,NULL,15,16,#EE86A7,IK,0,NULL,1
26006,3d7165,東急多摩川線,とうきゅうたまがわせん,NULL,7,16,#AE0378,TM,0,NULL,1
26007,0477d1,東急世田谷線,とうきゅうせたがやせん,NULL,10,16,#FCC70D,SG,0,NULL,1
26008,fe06ac,東急こどもの国線,とうきゅうこどものくにせん,NULL,3,16,#0068B7,KD,0,NULL,1
27001,8f85fa,京急本線,けいきゅうほんせん,NULL,50,17,#00BFFF,KK,0,NULL,1
