station_code,line_code,index,numbering
1110903,11109,3,H16
1110904,11109,4,H15
1110905,11109,5,AP15
1110906,11109,6,H14
1110907,11109,7,H13
1110908,11109,8,H12
1110909,11109,9,H11
1110910,11109,10,H10
1110911,11109,11,H09
1110912,11109,12,H08
1110913,11109,13,H07
1110914,11109,14,H06
1110915,11109,15,H05
1110916,11109,16,H04
1110317,11109,17,H03
1110316,11109,18,H02
1110315,11109,19,01
1110906,11110,1,H14
1110506,11110,2,K15
1111003,11110,3,K16
1111004,11110,4,K17
1111005,11110,5,K18
1111006,11110,6,K19
1111007,11110,7,K20
1111008,11110,8,Y21
1111009,11110,9,Y22
1111010,11110,10,Y23
1111011,11110,11,Y24
1111012,11110,12,Y25
1111013,11110,13,K21
1111014,11110,14,K22
1110618,11110,15,K23
1110434,11111,1,NULL
1111102,11111,2,NULL
1111103,11111,3,NULL
1111104,11111,4,NULL
1111105,11111,5,NULL
1111106,11111,6,NULL
1111107,11111,7,NULL
1111108,11111,8,NULL
1111109,11111,9,NULL
1111110,11111,10,NULL
1111111,11111,11,NULL
1111112,11111,12,NULL
1111113,11111,13,NULL
1111114,11111,14,NULL
1111115,11111,15,NULL
1111117,11111,16,NULL
1111118,11111,17,NULL
1111119,11111,18,NULL
1111120,11111,19,NULL
1111121,11111,20,NULL
1111122,11111,21,NULL
1111123,11111,22,NULL
1111124,11111,23,NULL
1111125,11111,24,NULL
1111126,11111,25,NULL
1111127,11111,26,NULL
1111128,11111,27,NULL
1111129,11111,28,NULL
1111130,11111,29,NULL
1110315,11112,1,01
1110314,11112,2,S02
1111203,11112,3,G03
1111204,11112,4,G04
1111205,11112,5,G05
1111206,11112,6,G06
1111207,11112,7,G07
1111208,11112,8,G08
1111209,11112,9,G09
1111210,11112,10,G10
1111211,11112,11,G11
1111212,11112,12,G12
1111213,11112,13,G13
1111214,11112,14,G14
1111215,11112,15,NULL
1111216,11112,16,NULL
1111217,11112,17,NULL
1111218,11112,18,NULL
1111219,11112,19,NULL
1111220,11112,20,NULL
1111221,11112,21,NULL
1111222,11112,22,NULL
1111223,11112,23,NULL
1111224,11112,24,NULL
1111225,11112,25,NULL
1111226,11112,26,NULL
1111227,11112,27,NULL
1111228,11112,28,NULL
1111229,11112,29,NULL
1111230,11112,30,NULL
1111231,11112,31,NULL
1111232,11112,32,NULL
1111233,11112,33,NULL
1111234,11112,34,NULL
1111235,11112,35,NULL
1111236,11112,36,NULL
1111237,11112,37,NULL
1111238,11112,38,NULL
1111239,11112,39,NULL
1111240,11112,40,NULL
1111241,11112,41,NULL
1111305,11112,42,NULL
1110338,11113,1,NULL
1111302,11113,2,NULL
1111303,11113,3,NULL
1111304,11113,4,NULL
1111305,11113,5,NULL
1111306,11113,6,NULL
1111307,11113,7,NULL
1111308,11113,8,NULL
1111309,11113,9,NULL
1111310,11113,10,NULL
1111311,11113,11,NULL
1111312,11113,12,NULL
1111313,11113,13,NULL
1111315,11113,14,NULL
1111316,11113,15,NULL
1111317,11113,16,NULL
1111318,11113,17,NULL
1111319,11113,18,NULL
1111320,11113,19,NULL
1111321,11113,20,NULL
1110342,11114,1,A28
1111402,11114,2,F29
1111403,11114,3,F30
1111404,11114,4,F31
1111405,11114,5,F32
1111406,11114,6,F33
1111407,11114,7,F34
1111408,11114,8,F35
1111409,11114,9,F36
1111410,11114,10,F37
1111411,11114,11,F38
1111412,11114,12,F39
1111413,11114,13,F40
1111414,11114,14,F41
1111415,11114,15,F42
1111416,11114,16,F43
1111417,11114,17,F44
1110610,11114,18,T30
1110342,11115,1,A28
1111502,11115,2,A29
1111503,11115,3,A30
1111504,11115,4,W31
1111505,11115,5,W32
1111506,11115,6,W33
1111507,11115,7,W34
1111508,11115,8,W35
1111509,11115,9,W36
1111510,11115,10,W37
1111511,11115,11,W38
1111512,11115,12,W39
1111513,11115,13,W40
1111514,11115,14,W41
1111515,11115,15,W42
1111516,11115,16,W43
1111517,11115,17,W44
1111518,11115,18,W45
1111519,11115,19,W46
1111520,11115,20,W47
1111521,11115,21,W48
1111522,11115,22,W49
1111523,11115,23,W50
1111524,11115,24,W51
1111525,11115,25,W52
1111526,11115,26,W53
1111527,11115,27,W54
1111528,11115,28,W55
1111529,11115,29,W56
1111530,11115,30,W57
1111531,11115,31,W58
1111532,11115,32,W59
1111533,11115,33,W60
1111534,11115,34,W61
1111535,11115,35,W62
1111536,11115,36,W63
1111537,11115,37,W64
1111538,11115,38,W65
1111539,11115,39,W66
1111540,11115,40,W67
1111541,11115,41,W68
1111542,11115,42,W69
1111543,11115,43,W70
1111544,11115,44,W71
1111545,11115,45,W72
1111546,11115,46,W73
1111547,11115,47,W74
1111548,11115,48,W75
1111549,11115,49,W76
1111550,11115,50,W77
1111551,11115,51,W78
1111552,11115,52,W79
1111553,11115,53,W80
1110342,11116,1,A28
1111502,11116,2,A29
1111503,11116,3,A30
1111604,11116,4,A31
1111605,11116,5,A32
1111606,11116,6,A33
1111607,11116,7,A34
1111608,11116,8,A35
1111609,11116,9,A36
1111610,11116,10,A37
1111611,11116,11,A38
1111612,11116,12,A39
1111613,11116,13,A40
1111614,11116,14,A41
1111615,11116,15,A42
1111616,11116,16,A43
1111617,11116,17,A44
1111618,11116,18,A45
1111619,11116,19,A46
1111620,11116,20,A47
1111621,11116,21,A48
1111622,11116,22,A49
1111623,11116,23,A50
1111624,11116,24,A51
1111625,11116,25,A52
1111626,11116,26,A53
1111627,11116,27,A54
1111628,11116,28,A55
1111629,11116,29,A56
1111630,11116,30,A57
1111631,11116,31,A58
1111632,11116,32,A59
1111633,11116,33,A60
1111634,11116,34,A61
1111635,11116,35,A62
1111636,11116,36,A63
1111637,11116,37,A64
1111638,11116,38,A65
1111639,11116,39,A66
1111640,11116,40,A67
1111641,11116,41,A68
1111642,11116,42,A69
1111642,11117,1,A69
1111702,11117,2,B79
1111703,11117,3,B78
1111704,11117,4,B77
1111705,11117,5,B76
1111706,11117,6,B75
1111707,11117,7,B74
1111708,11117,8,B73
1111709,11117,9,B72
1111710,11117,10,B71
1111711,11117,11,B70
1111712,11117,12,B69
1111713,11117,13,B68
1111714,11117,14,B67
1111715,11117,15,B66
1111716,11117,16,B65
1111717,11117,17,B64
1111718,11117,18,B63
1111719,11117,19,B62
1111720,11117,20,B61
1111721,11117,21,B60
1111722,11117,22,B59
1111723,11117,23,B58
1111724,11117,24,B57
1111725,11117,25,B56
1111726,11117,26,B55
1110802,11117,27,B54
1110731,11117,28,K53
1111801,11118,1,NULL
101102,11118,2,NULL
1111803,11118,3,NULL
1111805,11118,4,NULL
101103,11118,5,NULL
1110101,11119,1,NULL
1110102,11119,2,NULL
1111920,11119,3,NULL
1111919,11119,4,NULL
1111918,11119,5,NULL
1111917,11119,6,NULL
1111916,11119,7,NULL
1111915,11119,8,NULL
1111914,11119,9,NULL
1111913,11119,10,NULL
1111912,11119,11,NULL
1111911,11119,12,NULL
101103,11119,13,NULL
1111909,11119,14,NULL
1111908,11119,15,NULL
1111907,11119,16,NULL
1111906,11119,17,NULL
1111905,11119,18,NULL
1111904,11119,19,NULL
1111903,11119,20,NULL
1111902,11119,21,NULL
1111901,11119,22,NULL
100421,11201,1,NULL
1120102,11201,2,NULL
1120103,11201,3,NULL
1120104,11201,4,NULL
1120105,11201,5,NULL
1120106,11201,6,NULL
1120107,11201,7,NULL
1120108,11201,8,NULL
1120109,11201,9,NULL
1120110,11201,10,NULL
1120111,11201,11,NULL
1120112,11201,12,NULL
1120113,11201,13,NULL
1120114,11201,14,NULL
1120115,11201,15,NULL
1120116,11201,16,NULL
1120117,11201,17,NULL
1120118,11201,18,NULL
1120119,11201,19,NULL
1120120,11201,20,NULL
1120201,11202,1,NULL
1120202,11202,2,NULL
1120203,11202,3,NULL
1120204,11202,4,NULL
1120205,11202,5,NULL
1120206,11202,6,NULL
1120207,11202,7,NULL
1120208,11202,8,NULL
1120209,11202,9,NULL
1120210,11202,10,NULL
1120211,11202,11,NULL
1120212,11202,12,NULL
1120213,11202,13,NULL
1120214,11202,14,NULL
1120215,11202,15,NULL
1120216,11202,16,NULL
1120217,11202,17,NULL
1120218,11202,18,NULL
1120219,11202,19,NULL
1120220,11202,20,NULL
1120221,11202,21,NULL
1120222,11202,22,NULL
1120223,11202,23,NULL
1120224,11202,24,NULL
1120225,11202,25,NULL
1120226,11202,26,NULL
1120227,11202,27,NULL
1120228,11202,28,NULL
1120229,11202,29,NULL
1120230,11202,30,NULL
1120231,11202,31,NULL
1120232,11202,32,NULL
1120233,11202,33,NULL
1120234,11202,34,NULL
1120235,11202,35,NULL
1120236,11202,36,NULL
1120237,11202,37,NULL
1120238,11202,38,NULL
1120239,11202,39,NULL
1120240,11202,40,NULL
1120241,11202,41,NULL
1120242,11202,42,NULL
1120243,11202,43,NULL
1120244,11202,44,NULL
1120245,11202,45,NULL
1120246,11202,46,NULL
1120247,11202,47,NULL
1120248,11202,48,NULL
1120249,11202,49,NULL
1120250,11202,50,NULL
1120251,11202,51,NULL
1120252,11202,52,NULL
1120253,11202,53,NULL
1120254,11202,54,NULL
1120255,11202,55,NULL
1120256,11202,56,NULL
1120257,11202,57,NULL
1120258,11202,58,NULL
1120259,11202,59,NULL
1120260,11202,60,NULL
1120261,11202,61,NULL
1120262,11202,62,NULL
1120263,11202,63,NULL
1120264,11202,64,NULL
100423,11202,65,NULL
1120120,11202,66,NULL
1123101,11231,1,NULL
1123102,11231,2,NULL
1123103,11231,3,NULL
1123104,11231,4,NULL
1123105,11231,5,NULL
100407,11231,6,NULL
1123107,11231,7,NULL
1123108,11231,8,NULL
1123109,11231,9,NULL
1123110,11231,10,NULL
1123111,11231,11,NULL
1123112,11231,12,NULL
1123113,11231,13,NULL
100408,11231,14,NULL
1123115,11231,15,NULL
1123116,11231,16,NULL
1123117,11231,17,NULL
1123118,11231,18,NULL
1123119,11231,19,NULL
1123120,11231,20,NULL
1123121,11231,21,NULL
1123122,11231,22,NULL
1123123,11231,23,NULL
100409,11231,24,NULL
1123125,11231,25,NULL
1123126,11231,26,NULL
1123127,11231,27,NULL
1123128,11231,28,NULL
1123129,11231,29,NULL
1123130,11231,30,NULL
1123131,11231,31,NULL
1123132,11231,32,NULL
1123133,11231,33,NULL
1123134,11231,34,NULL
1123135,11231,35,NULL
1123136,11231,36,NULL
1123137,11231,37,NULL
1123138,11231,38,NULL
1123139,11231,39,NULL
1123140,11231,40,NULL
1123141,11231,41,NULL
1123142,11231,42,NULL
100411,11231,43,NULL
1123144,11231,44,NULL
1123145,11231,45,NULL
1123148,11231,46,NULL
1123149,11231,47,NULL
1123150,11231,48,NULL
1123151,11231,49,NULL
1123152,11231,50,NULL
1123153,11231,51,NULL
1123154,11231,52,NULL
1123155,11231,53,NULL
1123156,11231,54,NULL
1123157,11231,55,NULL
1123158,11231,56,NULL
1123159,11231,57,NULL
1123160,11231,58,NULL
1123161,11231,59,NULL
1123162,11231,60,NULL
1123163,11231,61,NULL
1123164,11231,62,NULL
1123165,11231,63,NULL
100414,11231,64,NULL
1123167,11231,65,NULL
1123168,11231,66,NULL
1123169,11231,67,NULL
1123170,11231,68,NULL
1123171,11231,69,NULL
1123172,11231,70,NULL
1123173,11231,71,NULL
100416,11231,72,NULL
1123175,11231,73,NULL
1123176,11231,74,NULL
1123177,11231,75,NULL
1123178,11231,76,NULL
1123179,11231,77,NULL
1123180,11231,78,NULL
1123181,11231,79,NULL
1123182,11231,80,NULL
1123183,11231,81,NULL
1123184,11231,82,NULL
100418,11231,83,NULL
1123146,11231,84,NULL
1123147,11231,85,NULL
1120110,11203,1,NULL
1120302,11203,2,NULL
1120303,11203,3,NULL
1120304,11203,4,NULL
1120305,11203,5,NULL
1120306,11203,6,NULL
1120307,11203,7,NULL
1120308,11203,8,NULL
1120309,11203,9,NULL
1120310,11203,10,NULL
1120311,11203,11,NULL
1120240,11204,1,NULL
1120402,11204,2,NULL
1120403,11204,3,NULL
1120404,11204,4,NULL
1120405,11204,5,NULL
1120406,11204,6,NULL
1120407,11204,7,NULL
1120408,11204,8,NULL
1120409,11204,9,NULL
1120410,11204,10,NULL
1120411,11204,11,NULL
1120412,11204,12,NULL
1120413,11204,13,NULL
1120414,11204,14,NULL
1120415,11204,15,NULL
1120416,11204,16,NULL
1120417,11204,17,NULL
1120418,11204,18,NULL
1120419,11204,19,NULL
1120420,11204,20,NULL
1120421,11204,21,NULL
1120422,11204,22,NULL
1120423,11204,23,NULL
1120424,11204,24,NULL
1120425,11204,25,NULL
1120426,11204,26,NULL
1120427,11204,27,NULL
1120428,11204,28,NULL
1120429,11204,29,NULL
1120430,11204,30,NULL
1120431,11204,31,NULL
1120432,11204,32,NULL
1120433,11204,33,NULL
1120434,11204,34,NULL
1120435,11204,35,NULL
1120436,11204,36,NULL
1120437,11204,37,NULL
1120438,11204,38,NULL
1120439,11204,39,NULL
1120440,11204,40,NULL
1120441,11204,41,NULL
1120442,11204,42,NULL
1120259,11204,43,NULL
1120120,11205,1,NULL
1120502,11205,2,NULL
1120503,11205,3,NULL
1120504,11205,4,NULL
1120505,11205,5,NULL
1120506,11205,6,NULL
1120507,11205,7,NULL
1120508,11205,8,NULL
1120509,11205,9,NULL
1120510,11205,10,NULL
1120511,11205,11,NULL
1111801,11205,12,NULL
1120513,11205,13,NULL
1120514,11205,14,NULL
1120515,11205,15,NULL
1120516,11205,16,NULL
1120517,11205,17,NULL
1120518,11205,18,NULL
100421,11206,1,NULL
1120602,11206,2,NULL
1120603,11206,3,NULL
1120604,11206,4,NULL
1120605,11206,5,NULL
1120606,11206,6,NULL
1120607,11206,7,NULL
1120609,11206,8,NULL
1120610,11206,9,NULL
1120611,11206,10,NULL
1120612,11206,11,NULL
1120613,11206,12,NULL
1120614,11206,13,NULL
1120615,11206,14,NULL
1120616,11206,15,NULL
1120617,11206,16,NULL
1120618,11206,17,NULL
1120619,11206,18,NULL
1120620,11206,19,NULL
1120621,11206,20,NULL
1120622,11206,21,NULL
1120623,11206,22,NULL
1120624,11206,23,NULL
1120625,11206,24,NULL
1120701,11207,1,NULL
1120702,11207,2,NULL
1120703,11207,3,NULL
1120704,11207,4,NULL
1120705,11207,5,NULL
1120706,11207,6,NULL
1120707,11207,7,NULL
1120708,11207,8,NULL
1120709,11207,9,NULL
100414,11208,1,NULL
1120802,11208,2,NULL
1120803,11208,3,NULL
1120804,11208,4,NULL
1120805,11208,5,NULL
1120806,11208,6,NULL
1120807,11208,7,NULL
1120808,11208,8,NULL
1120809,11208,9,NULL
1120810,11208,10,NULL
1120811,11208,11,NULL
1120812,11208,12,NULL
1120813,11208,13,NULL
1120814,11208,14,NULL
1120815,11208,15,NULL
1120816,11208,16,NULL
1120826,11208,17,NULL
1120827,11208,18,NULL
1120828,11208,19,NULL
1120829,11208,20,NULL
1120830,11208,21,NULL
1120817,11208,22,NULL
1120818,11208,23,NULL
1120831,11208,24,NULL
1120819,11208,25,NULL
1120832,11208,26,NULL
1120833,11208,27,NULL
1120834,11208,28,NULL
1120820,11208,29,NULL
1120835,11208,30,NULL
1120821,11208,31,NULL
1120836,11208,32,NULL
1120822,11208,33,NULL
1120837,11208,34,NULL
1120823,11208,35,NULL
1120838,11208,36,NULL
1120824,11208,37,NULL
1120839,11208,38,NULL
1120840,11208,39,NULL
1123176,11209,1,NULL
1120902,11209,2,NULL
100417,11209,3,NULL
1120904,11209,4,NULL
1120905,11209,5,NULL
1120906,11209,6,NULL
1120907,11209,7,NULL
1120908,11209,8,NULL
1120909,11209,9,NULL
1120910,11209,10,NULL
1120911,11209,11,NULL
1120912,11209,12,NULL
1120913,11209,13,NULL
1120914,11209,14,NULL
1120915,11209,15,NULL
1120916,11209,16,NULL
1120917,11209,17,NULL
1120918,11209,18,NULL
1120919,11209,19,NULL
1120920,11209,20,NULL
1120921,11209,21,NULL
1120922,11209,22,NULL
1120923,11209,23,NULL
1120924,11209,24,NULL
100416,11210,1,NULL
1121002,11210,2,NULL
1121003,11210,3,NULL
1121004,11210,4,NULL
1121005,11210,5,NULL
1121006,11210,6,NULL
1121007,11210,7,NULL
1121008,11210,8,NULL
1121009,11210,9,NULL
1121010,11210,10,NULL
1121011,11210,11,NULL
1121012,11210,12,NULL
1121013,11210,13,NULL
1121014,11210,14,NULL
1121015,11210,15,NULL
1121016,11210,16,NULL
1120217,11210,17,NULL
100418,11211,1,NULL
1121102,11211,2,NULL
1121103,11211,3,NULL
1121104,11211,4,NULL
1121105,11211,5,NULL
1121106,11211,6,NULL
1121107,11211,7,NULL
1121108,11211,8,NULL
1121109,11211,9,NULL
1121110,11211,10,NULL
1121111,11211,11,NULL
1121112,11211,12,NULL
1121113,11211,13,NULL
1121114,11211,14,NULL
1121115,11211,15,NULL
1121116,11211,16,NULL
1120220,11211,17,NULL
1121201,11212,1,NULL
1121202,11212,2,NULL
1121203,11212,3,NULL
1121204,11212,4,NULL
1121205,11212,5,NULL
1121206,11212,6,NULL
1121207,11212,7,NULL
1121208,11212,8,NULL
1121209,11212,9,NULL
1121210,11212,10,NULL
1121211,11212,11,NULL
1121212,11212,12,NULL
1121213,11212,13,NULL
1121214,11212,14,NULL
1121215,11212,15,NULL
1121216,11212,16,NULL
1121217,11212,17,NULL
1121218,11212,18,NULL
1121219,11212,19,NULL
1121220,11212,20,NULL
1121221,11212,21,NULL
1121222,11212,22,NULL
1121223,11212,23,NULL
1121224,11212,24,NULL
1121225,11212,25,NULL
1121226,11212,26,NULL
1120249,11212,27,NULL
100418,11213,1,NULL
1121302,11213,2,NULL
1121303,11213,3,NULL
1121304,11213,4,NULL
1121305,11213,5,NULL
1121306,11213,6,NULL
1121307,11213,7,NULL
1121308,11213,8,NULL
1121309,11213,9,NULL
1121310,11213,10,NULL
1121311,11213,11,NULL
1121312,11213,12,NULL
1121313,11213,13,NULL
1120701,11213,14,NULL
1121315,11213,15,NULL
1121316,11213,16,NULL
1121317,11213,17,NULL
1121318,11213,18,NULL
1121401,11214,1,NULL
1121402,11214,2,NULL
1121403,11214,3,NULL
1121404,11214,4,NULL
1121405,11214,5,NULL
1121406,11214,6,NULL
1121407,11214,7,NULL
1121408,11214,8,NULL
1121409,11214,9,NULL
1121410,11214,10,NULL
1121411,11214,11,NULL
1121412,11214,12,NULL
1121413,11214,13,NULL
1121414,11214,14,NULL
1121415,11214,15,NULL
1121416,11214,16,NULL
1121417,11214,17,NULL
1121418,11214,18,NULL
1121419,11214,19,NULL
1121420,11214,20,NULL
1121421,11214,21,NULL
1121422,11214,22,NULL
1121423,11214,23,NULL
1121424,11214,24,NULL
1121425,11214,25,NULL
1121426,11214,26,NULL
1121427,11214,27,NULL
1121428,11214,28,NULL
1121429,11214,29,NULL
1121430,11214,30,NULL
1121431,11214,31,NULL
1121432,11214,32,NULL
1121433,11214,33,NULL
1121434,11214,34,NULL
1121435,11214,35,NULL
1121436,11214,36,NULL
1121437,11214,37,NULL
1121438,11214,38,NULL
1121439,11214,39,NULL
1121440,11214,40,NULL
1121441,11214,41,NULL
1121442,11214,42,NULL
1121443,11214,43,NULL
1121444,11214,44,NULL
1121445,11214,45,NULL
1121446,11214,46,NULL
1121447,11214,47,NULL
1121448,11214,48,NULL
1121449,11214,49,NULL
1121450,11214,50,NULL
1121451,11214,51,NULL
1121452,11214,52,NULL
1121453,11214,53,NULL
1121454,11214,54,NULL
1121455,11214,55,NULL
1121456,11214,56,NULL
1121457,11214,57,NULL
1121458,11214,58,NULL
1121459,11214,59,NULL
1120228,11214,60,NULL
1120231,11215,1,NULL
1121502,11215,2,NULL
1121503,11215,3,NULL
1121504,11215,4,NULL
1121505,11215,5,NULL
1121506,11215,6,NULL
1121507,11215,7,NULL
1121508,11215,8,NULL
1121509,11215,9,NULL
100409,11216,1,NULL
1121602,11216,2,NULL
1121603,11216,3,NULL
1121604,11216,4,NULL
1121605,11216,5,NULL
1121606,11216,6,NULL
1121607,11216,7,NULL
1121608,11216,8,NULL
1121609,11216,9,NULL
1121610,11216,10,NULL
1121611,11216,11,NULL
